Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
imatinib mesylate,Gleevec,11/1/01,Treatment of gastrointestinal stromal tumors,Designated/Approved,,,Treatment of patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors (GIST),2/1/02,2/1/09,,Novartis Pharmaceuticals Corp.,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,149201,For patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors (GIST)
Imatinib mesylate,Gleevec,9/9/05,Treatment of systemic mastocytosis without the D816V c-kit mutation,Designated/Approved,,,Treatment of adult patients with aggressive mastocytosis (ASM) without the D816V c-Kit mutation or with c-Kit mutational status unknown,10/19/06,10/19/13,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,209205,For adult patients with aggressive mastocytosis (ASM) without the D816V c-Kit mutation or with c-Kit mutational status unknown
Imatinib mesylate,Gleevec,10/5/05,Treatment of myeloproliferative disorders/myelodysplastic syndromes associated with platelet-derived growth factor gene re-arrangements,Designated/Approved,,,Treatment of adult patients with myelodysplastic/myeloproliferative diseases (MDS/MPD) associated with PDGFR (platelet-derived growth factor receptor) gene re-arrangements,10/19/06,10/19/13,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,209105,For adult patients with myelodysplastic/myeloproliferative diseases (MDS/MPD) associated with PDGFR (platelet-derived growth factor receptor) gene re-arrangements
Imatinib mesylate,Gleevec,8/25/05,Treatment of idiopathic hypereosinophilic syndrome including acute and chronic eosinophilic leukemia,Designated/Approved,,,Treatment of adult patients with hypereosinophic syndrome (HES) and/or chronic eosinophilic leukemia (CEL) who have the FIP1L1-PDGFR} fusion kinase (mutational analysis or FISH demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFR} fusion kinase negative or unknown,10/19/06,10/19/13,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,209005,For adult patients with hypereosinophic syndrome (HES) and/or chronic eosinophilic leukemia (CEL) who have the FIP1L1-PDGFR} fusion kinase (mutational analysis or FISH demonstration of CHIC2 allele deletion) and for patients with HES and/or CEL who are FIP1L1-PDGFR} fusion kinase negative or unknown
imetelstat,Rytelo,12/23/15,Treatment of myelodysplastic syndrome,Designated/Approved,,,treatment of adult patients with low- to intermediate-1 risk myelodysplastic syndromes (MDS) with transfusion-dependent anemia requiring 4 or more red blood cell units over 8 weeks who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents (ESA),6/6/24,6/6/31,treatment of adult patients with low- to intermediate-1 risk myelodysplastic syndromes (MDS) with transfusion-dependent anemia requiring 4 or more red blood cell units over 8 weeks who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents (ESA),Geron Corporation,"919 E. Hillsdale Blvd., Suite 250",,Foster City,California,94404 ',United States,501415,For adult patients with low- to intermediate-1 risk myelodysplastic syndromes (MDS) with transfusion-dependent anemia requiring 4 or more red blood cell units over 8 weeks who have not responded to or have lost response to or are ineligible for erythropoiesis-stimulating agents (ESA)
Imiglucerase,Cerezyme,11/5/91,"Replacement therapy in patients with types I, II, and III Gaucher's disease.",Designated/Approved,,,Enzyme replacement therapy in patients with type I Gaucher's disease.,5/23/94,5/23/01,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,02139 ',United States,62491,Enzyme replacement therapy in patients with type I Gaucher's disease.
Immune Globulin (Human),Gamunex-C,7/27/04,Treatment of chronic inflammatory demyelinating polyneuropathy,Designated/Approved,,,Treatment of Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) to improve neuromuscular disability and impairment and for maintenance therapy to prevent relapse,9/12/08,9/12/15,,"Grifols Therapeutics, Inc.",8368 US 70 Busines Hwy West,,Clayton,North Carolina,27520 ',United States,185604,For Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) to improve neuromuscular disability and impairment and for maintenance therapy to prevent relapse
immune globulin infusion (human),Gammagard Liquid,7/20/06,Treatment of multifocal motor neuropathy,Designated/Approved,,,Maintenance therapy to improve muscle strength and disability in adult patients with Multifocal Motor Neuropathy (MMN).,6/22/12,6/22/19,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,224906,Maintenance therapy to improve muscle strength and disability in adult patients with Multifocal Motor Neuropathy (MMN).
Immune Globulin Infusion 10% (Human) with Recombinant Human Hyaluronidase,HyQvia,3/31/16,Treatment of chronic inflammatory demyelinating polyneuropathy,Designated/Approved,,,treatment of chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment in adults,1/12/24,1/12/31,treatment of chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment in adults,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,514315,For chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment in adults
immune globulin intravenous (human),Gammaplex,4/29/11,Treatment of idiopathic thrombocytopenic purpura (also known as primary immune thrombocytopenia),Designated/Approved,,,Idiopathic thrombocytopenic purpura,3/8/13,,,Bio Products Laboratory,Dagger Lane,Hertfordshire,England,,',United Kingdom,335211,Idiopathic thrombocytopenic purpura
Immune Globulin Intravenous (Human),Octagam 10%,4/19/17,Treatment of dermatomyositis,Designated/Approved,,,Treatment of dermatomyositis in adults,7/15/21,7/15/28,Treatment of dermatomyositis in adults,"OCTAPHARMA USA, Inc.",117 West Century Road,,Paramus,New Jersey,07652 ',United States,564716,For dermatomyositis in adults
"Immune globulin intravenous, human",Gamimune N,2/18/93,Infection prophylaxis in pediatric patients affected with the human immunodeficiency virus.,Designated/Approved,,,"For prophylaxis of children with clinical or immunologic evidence of human immunodeficiency virus to decrease the frequency of serious and minor bacterial infections and the frequency of hospitalization, and to increase the time free of serious bacterial infections.",12/27/93,12/27/00,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,06516 ',United States,70592,"For prophylaxis of children with clinical or immunologic evidence of human immunodeficiency virus to decrease the frequency of serious and minor bacterial infections and the frequency of hospitalization, and to increase the time free of serious bacterial infections."
"Immune Globulin Subcutaneous (Human), 20% Liquid",Hizentra,8/18/14,Treatment of chronic inflammatory demyelinating polyneuropathy (CIDP),Designated/Approved,,,Indicated for the treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment.,3/15/18,3/15/25,Indicated for the treatment of adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment,CSL Behring,1020 First Avenue,PO Box 61501,King of Prussia,Pennsylvania,19406 ',United States,439914,For adult patients with chronic inflammatory demyelinating polyneuropathy (CIDP) as maintenance therapy to prevent relapse of neuromuscular disability and impairment.
inebilizumab,Uplizna,2/10/16,Treatment of neuromyelitis optica and neuromyelitis optica spectrum disorders,Designated/Approved,,,Uplizna is indicated for for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,6/11/20,6/11/27,Indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,Horizon Therapeutics Ireland DAC,70St. Stephens Green,,Dublin 2,,D02 E2X4 ',Ireland,490415,Uplizna is For neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.
infigratinib,Truseltiq,9/11/19,Treatment of cholangiocarcinoma,Designated/Approved/Designation Withdrawn or Revoked,8/4/23,,"Treatment of adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test. (Indication withdrawn 5/16/2024)",5/28/21,8/4/23,,"QED Therapeutics, Inc.","1800 Owens Street, 12 Floor",,San Francisco,California,94148 ',United States,707019,"For adults with previously treated, unresectable locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or other rearrangement as detected by an FDA-approved test. (Indication withdrawn 5/16/2024)"
Infliximab,Remicade,11/12/03,Treatment of pediatric (0 to 16 years of age) Crohn's Disease,Designated/Approved,,,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients with moderately to severely active Crohn's disease who have had an inadequate response to conventional therapy,5/19/06,5/19/13,,"Centocor, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,19355 ',United States,175803,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients with moderately to severely active Crohn's disease who have had an inadequate response to conventional therapy
infliximab,Remicade,11/12/03,Treatment of pediatric (0 to 16 years of age) ulcerative colitis,Designated/Approved,,,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy,9/23/11,9/23/18,,"Janssen Biotech, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,19355 ',United States,175903,For reducing signs and symptoms and inducing and maintaining clinical remission in pediatric patients 6 years of age and older with moderately to severely active ulcerative colitis who have had an inadequate response to conventional therapy
infliximab,Remicade,11/14/95,Treatment of Crohn's disease,Designated/Approved,,,"Treatment of moderately to severely active Crohn's disease for the reduction of the signs and symptoms, in patients who have an inadequate response to conventional therapies; and treatment of patients with fistulizing Crohn's disease for the reduction in the number of draining enterocutaneous fistula(s).",8/24/98,8/24/05,,"Centocor, Inc.",200 Great Valley Parkway,,Malvern,Pennsylvania,19355 ',United States,92495,"For moderately to severely active Crohn's disease for the reduction of the signs and symptoms, in patients who have an inadequate response to conventional therapies; and For patients with fistulizing Crohn's disease for the reduction in the number of draining enterocutaneous fistula(s)."
Inotersen,TEGSEDI,7/24/12,Treatment of transthyretin amyloidosis (ATTR amyloidosis),Designated/Approved,,,TEGSEDI is indicated for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults.,10/5/18,10/5/25,TEGSEDI is indicated for the treatment of the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults.,"Akcea Therapeutics, Inc.",22 Boston Wharf Road,9th Floor,Boston,Massachusetts,02210 ',United States,374512,TEGSEDI is For the polyneuropathy of hereditary transthyretin-mediated amyloidosis in adults.
